system:index,EVI,GREEN,LST_C,NDBI,NDVI,NDWI,NIR,RED,SWIR,YEAR,latitude,longitude,.geo
726,1.89873417721519,710.0,20.880006620000017,-0.12846348,0.56792873,-0.552615,2464.0,679.0,1903.0,2024,60.97436263524609,25.620176481909784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.620176481909784,60.97436263524609]}"
727,0.23471615720524017,1268.0,23.30850983000002,0.067699835,0.06689484,-0.14970662,1714.5,1499.5,1963.5,2024,60.97436263524609,25.62260193317691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.62260193317691,60.97436263524609]}"
728,3.328316086547507,824.0,20.70910562000006,-0.22002634,0.53219014,-0.5110518,2546.5,777.5,1628.0,2024,60.97436263524609,25.63176474907493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.63176474907493,60.97436263524609]}"
729,1.079852845704393,395.5,19.69395368000002,-0.05737563,0.48635477,-0.5881281,1525.0,527.0,1359.5,2024,60.97436263524609,25.635268178682992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.635268178682992,60.97436263524609]}"
730,2.5064203462844836,441.5,20.222037770000014,-0.41196436,0.83335626,-0.7657514,3328.0,302.5,1386.0,2024,60.97436263524609,25.635807167853464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.635807167853464,60.97436263524609]}"
731,2.5064203462844836,441.5,21.42859883,-0.41196436,0.83335626,-0.7657514,3328.0,302.5,1386.0,2024,60.97436263524609,25.6360766624387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.6360766624387,60.97436263524609]}"
732,0.9367731021357582,1142.5,25.434518270000012,0.024439333,0.15016949,-0.19513914,1696.5,1253.5,1781.5,2024,60.97436263524609,25.639580092046767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.639580092046767,60.97436263524609]}"
733,1.7609782220635486,738.0,22.68301217000004,-0.084575556,0.39947358,-0.40145984,1728.0,741.5,1458.5,2024,60.97436263524609,25.64119705955818,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.64119705955818,60.97436263524609]}"
734,2.752433090024331,461.5,23.163243980000004,-0.19931799,0.62861776,-0.58423424,1758.5,401.0,1174.0,2024,60.97436263524609,25.641466554143417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.641466554143417,60.97436263524609]}"
735,2.6650911546252534,407.0,23.99040482000001,-0.33196118,0.7719538,-0.6953593,2265.0,291.5,1136.0,2024,60.97436263524609,25.64200554331389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.64200554331389,60.97436263524609]}"
736,2.214910025706941,521.0,24.53899703000002,-0.20759553,0.7111258,-0.66522086,2591.5,437.5,1700.5,2024,60.97436263524609,25.643083521654834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.643083521654834,60.97436263524609]}"
737,1.9082908754052803,967.0,25.362739850000025,-0.054790508,0.29682997,-0.30104807,1800.0,976.0,1613.0,2024,60.97436263524609,25.64443099458101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.64443099458101,60.97436263524609]}"
738,1.1160302527209003,1273.5,24.590267330000046,-0.028881824,0.18456376,-0.20777605,1941.5,1336.5,1832.5,2024,60.97436263524609,25.6465869512629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.6465869512629,60.97436263524609]}"
739,1.6022559171597632,1032.0,21.97377302000001,-0.09008755,0.2894605,-0.30317354,1930.0,1063.5,1611.0,2024,60.97436263524609,25.65170734838238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.65170734838238,60.97436263524609]}"
